1775205743.329757, -0.54, 3.60, 1, 1
1775205743.7296152, -1.93, 12.88, 1, 1
1775205743.888387, -3.42, 19.30, 1, 1
1775205743.9429262, -4.49, 24.24, 1, 1
1775205744.020766, -5.18, 29.19, 1, 1
1775205744.1548202, -5.51, 31.76, 1, 1
1775205744.268539, -5.49, 32.40, 1, 1
1775205744.304731, -5.66, 32.72, 1, 1
1775205744.343904, -6.12, 33.78, 1, 1
1775205744.3904798, -6.53, 36.82, 1, 1
1775205744.426253, -6.77, 38.26, 1, 1
1775205744.469575, -6.76, 38.21, 1, 1
1775205744.50887, -7.05, 40.77, 1, 1
1775205744.549804, -7.46, 43.61, 1, 1
1775205744.5919318, -7.68, 46.49, 1, 1
1775205744.632559, -8.15, 48.99, 1, 1
1775205744.672416, -8.59, 50.99, 1, 1
1775205744.713342, -8.90, 51.59, 1, 1
1775205744.7556102, -9.36, 54.08, 1, 1
1775205744.7948742, -9.68, 56.06, 1, 1
1775205744.8432388, -9.66, 54.65, 1, 1
1775205744.8816729, -9.59, 54.72, 1, 1
1775205744.9224992, -9.80, 56.18, 1, 1
1775205744.9593248, -9.75, 55.74, 1, 1
1775205745.000986, -9.28, 55.39, 1, 1
1775205745.0420392, -9.38, 57.91, 1, 1
1775205745.083544, -8.80, 54.53, 1, 1
1775205745.124081, -9.68, 57.82, 1, 1
1775205745.1654358, -9.29, 58.66, 1, 1
1775205745.205909, -8.79, 57.53, 1, 1
1775205745.25028, -9.16, 59.02, 1, 1
1775205745.288427, -9.10, 59.22, 1, 1
1775205745.3287292, -8.99, 57.57, 1, 1
1775205745.3710651, -8.32, 48.86, 1, 1
1775205745.411453, -9.00, 50.09, 1, 1
1775205745.45246, -8.42, 41.87, 1, 1
1775205745.493214, -8.05, 35.10, 1, 1
1775205745.5342, -8.70, 33.48, 1, 1
1775205745.575625, -8.94, 30.78, 1, 1
1775205745.6145291, -9.35, 30.63, 1, 1
1775205745.65647, -9.02, 3.30, 1, 1
1775205745.698393, -7.95, 24.44, 1, 1
1775205745.737941, -6.17, 38.75, 1, 1
1775205745.781952, -6.34, 56.20, 1, 1
1775205745.8213289, -5.57, 66.96, 1, 1
1775205745.862257, -6.07, 78.77, 1, 1
1775205745.9028401, -5.52, 84.42, 1, 1
1775205745.9485781, -5.42, 90.73, 1, 1
1775205745.985952, -5.19, 94.39, 1, 1
1775205746.026562, -5.28, 94.51, 1, 1
1775205746.067727, -4.69, 92.21, 1, 1
1775205746.10952, -3.10, 89.57, 1, 1
1775205746.149545, -2.38, 88.05, 1, 1
1775205746.190551, -1.69, 83.84, 1, 1
1775205746.2717361, -1.05, 82.67, 1, 1
1775205746.312434, -0.49, 82.74, 1, 1
1775205746.352779, -0.81, 82.99, 1, 1
1775205746.393408, -0.89, 79.79, 1, 1
1775205746.4352481, -1.39, 79.43, 1, 1
1775205746.476664, -2.54, 78.75, 1, 1
1775205746.517177, -2.27, 70.80, 1, 1
1775205746.558594, -3.01, 66.24, 1, 1
1775205746.5997849, -4.42, 66.99, 1, 1
1775205746.640697, -3.72, 64.79, 1, 1
1775205746.681857, -2.65, 59.03, 1, 1
1775205746.7226398, -2.10, 57.03, 1, 1
1775205746.763662, -2.97, 56.82, 1, 1
1775205746.8034172, -2.04, 53.26, 1, 1
1775205746.84575, -3.78, 56.21, 1, 1
1775205746.886699, -3.75, 55.16, 1, 1
1775205746.927947, -4.64, 55.93, 1, 1
1775205746.967176, -5.72, 57.35, 1, 1
1775205747.009865, -6.01, 56.68, 1, 1
1775205747.05071, -6.17, 57.14, 1, 1
1775205747.092362, -6.15, 56.71, 1, 1
1775205747.131976, -5.79, 54.77, 1, 1
1775205747.1739452, -5.90, 47.22, 1, 1
1775205747.214993, -6.52, 43.57, 1, 1
1775205747.2563798, -6.90, 45.46, 1, 1
1775205747.29539, -6.67, 45.97, 1, 1
1775205747.338263, -6.51, 46.17, 1, 1
1775205747.377812, -6.92, 49.34, 1, 1
1775205747.4200692, -7.77, 51.47, 1, 1
1775205747.462058, -7.88, 51.78, 1, 1
1775205747.501882, -7.69, 55.62, 1, 1
1775205747.543296, -7.67, 54.10, 1, 1
1775205747.58382, -7.71, 57.88, 1, 1
1775205747.625289, -6.05, 56.90, 1, 1
1775205747.6664162, -6.36, 54.52, 1, 1
1775205747.705587, -7.21, 64.22, 1, 1
1775205747.746134, -8.16, 70.17, 1, 1
1775205747.787322, -7.73, 71.14, 1, 1
1775205747.828355, -8.39, 79.11, 1, 1
1775205747.869259, -8.59, 82.69, 1, 1
1775205747.910251, -8.41, 86.35, 1, 1
1775205747.9512372, -8.00, 83.68, 1, 1
1775205747.992395, -8.66, 88.74, 1, 1
1775205748.033351, -7.23, 84.00, 1, 1
1775205748.074235, -8.16, 89.40, 1, 1
1775205748.115167, -8.05, 87.52, 1, 1
1775205748.1561532, -7.47, 89.01, 1, 1
1775205748.197143, -8.08, 93.41, 1, 1
1775205748.238152, -8.35, 96.73, 1, 1
1775205748.279205, -10.14, 76.18, 1, 1
1775205748.3198981, -13.76, 84.35, 1, 1
1775205748.360975, -14.65, 101.28, 1, 1
1775205748.4024599, -13.63, 102.82, 1, 1
1775205748.443258, -10.91, 101.86, 1, 1
1775205748.4843562, -12.48, 111.49, 1, 1
1775205748.525268, -20.01, 175.79, 1, 1
1775205748.566114, -28.27, 293.83, 1, 1
1775205748.607148, -26.83, 227.26, 1, 1
1775205748.64816, -32.82, 193.21, 1, 1
1775205748.6892889, -28.34, 132.17, 1, 1
1775205748.7304242, -11.52, 69.14, 1, 1
1775205748.771568, -3.43, 4.71, 1, 1
1775205748.812507, 1.93, -15.83, 1, 1
1775205748.853858, 4.05, -3.27, 1, 1
1775205748.8943932, 5.25, -0.21, 1, 1
1775205748.935455, 7.37, -38.97, 1, 1
1775205748.976935, 6.91, -34.58, 1, 1
1775205749.058103, 5.62, -12.66, 1, 1
1775205749.098895, 8.05, -64.33, 1, 1
1775205749.139821, 9.85, -96.06, 1, 1
1775205749.181847, 9.89, -126.45, 1, 1
1775205749.2220201, 10.48, -165.96, 1, 1
1775205749.26272, 9.56, -191.17, 1, 1
1775205749.30386, 10.84, -217.73, 1, 1
1775205749.344925, 12.30, -229.99, 1, 1
1775205749.386167, 9.25, -206.99, 1, 1
1775205749.427041, 8.13, -198.79, 1, 1
1775205749.46808, 5.17, -170.23, 1, 1
1775205749.5088692, 8.48, -169.39, 1, 1
1775205749.549781, 6.95, -171.11, 1, 1
1775205749.590751, 5.16, -176.49, 1, 1
1775205749.6318688, 6.16, -194.79, 1, 1
1775205749.672917, 4.41, -201.63, 1, 1
1775205749.715811, 3.20, -207.11, 1, 1
1775205749.7553852, 0.67, -198.68, 1, 1
1775205749.7960079, 7.29, -197.95, 1, 1
1775205749.837028, 11.78, -188.96, 1, 1
1775205749.878079, 15.13, -173.57, 1, 1
1775205749.9194958, 11.91, -186.45, 1, 1
1775205749.9602518, 8.73, -180.16, 1, 1
1775205750.000971, 14.50, -142.53, 1, 1
1775205750.043427, 7.56, -88.02, 1, 1
1775205750.085333, 7.59, -80.22, 1, 1
1775205750.125772, 8.49, -73.78, 1, 1
1775205750.167926, 5.99, -45.22, 1, 1
1775205750.209118, 7.23, -58.38, 1, 1
1775205750.249433, 7.33, -65.30, 1, 1
1775205750.2899048, 11.62, -48.44, 1, 1
1775205750.3308249, 13.07, -20.15, 1, 1
1775205750.371766, 12.46, -1.12, 1, 1
1775205750.413235, 9.83, -6.30, 1, 1
1775205750.454307, 8.99, -6.44, 1, 1
1775205750.495213, 9.13, 11.25, 1, 1
1775205750.536852, 9.08, 22.20, 1, 1
1775205750.577821, 7.10, -10.44, 1, 1
1775205750.618523, 5.40, 13.05, 1, 1
1775205750.660056, 4.46, 44.24, 1, 1
1775205750.700059, 6.32, 22.99, 1, 1
1775205750.741672, 4.98, 37.99, 1, 1
1775205750.782609, 2.39, 21.79, 1, 1
1775205750.823794, -0.18, 13.44, 1, 1
1775205750.864429, -3.12, 8.95, 1, 1
1775205750.9054, -4.71, 8.16, 1, 1
1775205750.946066, -6.43, 8.93, 1, 1
1775205750.9871051, -9.35, 30.14, 1, 1
1775205751.028173, -10.61, 0.51, 1, 1
1775205751.069003, -8.46, -38.79, 1, 1
1775205751.109756, -10.61, -42.43, 1, 1
1775205751.150975, 2.90, -11.75, 1, 1
1775205751.191046, 14.26, -157.20, 1, 1
1775205751.230945, 20.99, -174.36, 1, 1
1775205751.273966, 26.20, -145.69, 1, 1
1775205751.314888, 32.47, -94.95, 1, 1
1775205751.3551779, 22.96, 6.24, 1, 1
1775205751.3965068, 27.32, -14.61, 1, 1
1775205751.437793, 5.18, 116.31, 1, 1
1775205751.478661, -12.58, 267.05, 1, 1
1775205751.5183492, -27.05, 618.64, 1, 1
1775205751.601384, -38.77, 942.51, 1, 1
1775205751.641899, -48.24, 1432.21, 1, 1
1775205751.682393, -21.30, 458.57, 1, 1
1775205751.72447, 0.14, -313.15, 1, 1
1775205751.7639759, 16.75, -777.92, 1, 1
1775205751.806237, 30.17, -1237.33, 1, 1
1775205751.847168, 41.11, -1733.67, 1, 1
1775205751.887897, 15.89, -545.73, 1, 1
1775205751.928948, -4.41, 486.81, 1, 1
1775205751.970272, -20.59, 1026.65, 1, 1
1775205752.0109959, -33.31, 1165.32, 1, 1
1775205752.051628, -41.98, 1142.46, 1, 1
1775205752.091724, -50.11, 1335.97, 1, 1
1775205752.1334348, -56.36, 1572.17, 1, 1
1775205752.1744819, -61.51, 1822.14, 1, 1
1775205752.2163599, -65.53, 1975.51, 1, 1
1775205752.257544, -68.76, 2092.21, 1, 1
1775205752.298401, -71.33, 2181.77, 1, 1
1775205752.339595, -73.40, 2257.81, 1, 1
1775205752.380554, -75.06, 2319.85, 1, 1
1775205752.421681, -76.39, 2373.88, 1, 1
1775205752.4616802, -77.47, 2421.30, 1, 1
1775205752.501987, -78.33, 2454.04, 1, 1
1775205752.544679, -79.01, 2481.63, 1, 1
1775205752.585632, -79.56, 2505.11, 1, 1
1775205752.626719, -80.00, 2524.29, 1, 1
1775205752.667624, -80.37, 2542.83, 1, 1
1775205752.708123, -80.65, 2551.66, 1, 1
1775205752.749729, -80.86, 2556.53, 1, 1
1775205752.789184, -81.04, 2563.42, 1, 1
1775205752.829859, -81.18, 2567.94, 1, 1
1775205752.870633, -80.95, 2471.95, 1, 1
1775205752.911573, -80.58, 2285.16, 1, 1
1775205752.952559, -80.54, 2077.53, 1, 1
1775205752.9939342, -79.45, 1790.62, 1, 1
1775205753.034743, -79.99, 1649.90, 1, 1
1775205753.0757911, -80.42, 1519.52, 1, 1
1775205753.116807, -80.77, 1425.22, 1, 1
1775205753.1576939, -81.08, 1361.77, 1, 1
1775205753.1986828, -81.32, 1314.82, 1, 1
1775205753.2397141, -81.53, 1304.65, 1, 1
1775205753.280861, -81.70, 1309.92, 1, 1
1775205753.3217962, -81.78, 1303.94, 1, 1
1775205753.362679, -81.85, 1307.75, 1, 1
1775205753.4036732, -81.88, 1317.00, 1, 1
1775205753.444714, -81.88, 1317.20, 1, 1
1775205753.485816, -81.89, 1317.56, 1, 1
1775205753.526689, -81.91, 1324.45, 1, 1
1775205753.567756, -81.80, 1311.76, 1, 1
1775205753.608727, -81.41, 1250.61, 1, 1
1775205753.6496918, -80.77, 1149.49, 1, 1
1775205753.690864, -80.24, 1039.39, 1, 1
1775205753.731712, -80.03, 940.91, 1, 1
1775205753.772778, -80.27, 838.93, 1, 1
